Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
TECNISA,TCSA3,2.66,-8.44,-41.3,1189600.0
TECHNOS,TECN3,2.32,3.11,18.8,1467210.0
TEKA S.A.,TEKA3,8.23,124.06,1.9,0.0
TEKA S.A.,TEKA4,13.89,124.64,1.9,30581.0
TELEBRAS,TELB3,13.9,-0.84,-83.1,21694.0
TELEBRAS,TELB4,8.99,0.64,-83.1,49663.0
Tenda,TEND3,3.99,-3.68,-14.4,17179400.0
TRACK FIELD,TFCO4,11.18,15.16,22.5,2477330.0
Tegma,TGMA3,18.01,7.25,12.9,4007430.0
TIM,TIMS3,11.29,7.94,16.1,92756800.0
TEKNO,TKNO4,73.0,4.27,12.6,753.0
TOTVS,TOTS3,30.06,13.37,35.0,122724000.0
TRIUNFO PARTICIPACOES SA,TPIS3,0.85,8.9,17.6,795162.0
TC,TRAD3,1.34,-2.02,-87.0,2213820.0
Trisul,TRIS3,3.38,10.99,13.6,3412220.0
TRANSMISSÃO PAULISTA,TRPL3,28.53,7.45,60.7,62553.0
TRANSMISSÃO PAULISTA,TRPL4,21.99,6.19,60.7,55892500.0
3TENTOS,TTEN3,12.35,12.39,7.4,13159600.0
TUPY,TUPY3,28.32,6.32,9.2,17257900.0
RENAUX,TXRX3,9.5,11.25,15.6,142.0
RENAUX,TXRX4,2.97,10.37,15.6,15751.0
UNICASA,UCAS3,2.4,6.08,8.8,116050.0
ULTRAPAR PARTICIPAÇÕES SA,UGPA3,12.98,9.76,1.7,77117500.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP3,76.88,2.67,37.1,1711950.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP5,89.99,3.14,37.1,24579.0
UNIPAR PARTICIPAÇÕES S.A.,UNIP6,85.16,2.97,37.1,17970300.0
USIMINAS,USIM3,7.66,2.4,13.7,3843060.0
USIMINAS,USIM5,7.34,2.31,13.7,131174000.0
USIMINAS,USIM6,14.0,4.18,13.7,316.0
VALE,VALE3,86.8,3.97,48.7,2166730000.0
VAMOS,VAMO3,14.18,13.61,32.0,47084400.0
VIBRA,VBBR3,15.4,6.45,2.7,161497000.0
VIA,VIIA3,2.05,5.33,7.1,206592000.0
VITTIA,VITT3,11.33,10.33,19.6,2558900.0
VIVARA S.A.,VIVA3,22.12,15.38,18.3,26017800.0
VIVER,VIVR3,0.41,-14.34,-23.8,2600020.0
TELEF BRASIL,VIVT3,39.08,13.94,12.1,97649100.0
VALID,VLID3,8.87,4.44,15.4,2855510.0
VULCABRAS S/A.,VULC3,11.33,7.62,15.9,3430190.0
VIVEO,VVEO3,18.56,13.83,6.4,2661670.0
WEG SA,WEGE3,38.6,31.21,18.2,274742000.0
WESTWING,WEST3,0.95,0.33,-27.7,363075.0
WHIRLPOOL S.A.,WHRL3,4.48,8.11,7.1,11788.0
WHIRLPOOL S.A.,WHRL4,4.7,8.54,7.1,24191.0
WIZ S.A.,WIZC3,7.16,3.03,44.2,9656110.0
WLM,WLMM3,21.5,6.09,6.5,95.0
WLM,WLMM4,23.02,6.57,6.5,58316.0
YDUQS PART,YDUQ3,8.54,12.45,12.1,48316500.0
ZAMP S.A.,ZAMP3,4.95,25.6,2.1,4879460.0
