Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
LOJAS QUERO-QUERO S/A,LJQQ3,21.92,23.55,10.09,38418635.9,[]
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS,LLIS3,3.95,-3.23,-102.79,2999269.33,[]
LOG COMMERCIAL PROPERTIES,LOGG3,29.65,9.65,254.89,7917729.05,[]
LOG-IN LOGÍSTICA INTERMODAL,LOGN3,19.85,14.45,17.68,15555153.38,[]
LOPES BRASIL,LPSB3,4.24,10.04,26.03,5448808.95,[]
LOJAS RENNER,LREN3,46.8,50.21,11.37,441616348.67,[]
LUPATECH,LUPA3,8.09,-518.29,-1.10,35187629.86,['RECUPERAÇÃO JUDICIAL']
TREVISA,LUXM4,74.5,14.31,14.34,44683.5,[]
LOCAWEB SERVIÇOS DE INTERNET S.A.,LWSA3,26.16,315.97,7.58,201663808.86,[]
CEMEPE,MAPT3,37.0,-231.32,-,14800.0,[]
CEMEPE,MAPT4,40.0,-231.32,-,10134.0,[]
Mobly S.A.,MBLY3,17.55,-37.68,-5.46,3602848.33,[]
M.DIAS BRANCO,MDIA3,29.29,19.60,7.44,37007727.19,[]
MOURA DUBEUX ENGENHARIA S/A,MDNE3,8.62,-14.77,-8.39,2442079.43,[]
INTERNATIONAL MEAL COMPANY,MEAL3,3.99,-2.39,-48.27,13702046.95,[]
