Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação
LOG COM PROP,LOGG3,29.92,9.73,254.89,11640000.0,FASE OPERACIONAL
LOG-IN,LOGN3,19.4,14.19,17.68,14350000.0,FASE OPERACIONAL
LOPES BRASIL,LPSB3,4.1,9.62,26.03,4460000.0,FASE OPERACIONAL
LOJAS RENNER,LREN3,47.0,66.32,8.98,418810000.0,FASE OPERACIONAL
LUPATECH,LUPA3,8.25,-502.59,-1.10,27830000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
TREVISA,LUXM4,73.95,14.11,14.44,32180.0,FASE OPERACIONAL
LOCAWEB,LWSA3,26.24,317.11,7.58,226390000.0,FASE OPERACIONAL
CEMEPE,MAPT3,37.0,-231.32,,22769.0,FASE OPERACIONAL
CEMEPE,MAPT4,40.0,-231.32,,1440.0,FASE OPERACIONAL
MOBLY,MBLY3,16.8,-35.46,-5.46,4740000.0,FASE OPERACIONAL
M.DIASBRANCO,MDIA3,27.74,18.61,7.44,35930000.0,FASE OPERACIONAL
MOURA DUBEUX,MDNE3,8.41,-14.42,-8.39,2770000.0,FASE OPERACIONAL
IMC S/A,MEAL3,3.87,-2.3,-50.77,19570000.0,FASE OPERACIONAL
MELNICK,MELK3,6.23,11.0,10.28,3800000.0,FASE OPERACIONAL
MANGELS INDL,MGEL4,17.98,7.77,16.06,229690.0,FASE OPERACIONAL
MAGAZ LUIZA,MGLU3,19.59,107.76,3.68,675710000.0,FASE OPERACIONAL
MILLS,MILS3,7.74,58.55,5.78,15540000.0,FASE OPERACIONAL
MMX MINER,MMXM3,14.0,-746.77,,6970000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
MUNDIAL,MNDL3,44.05,5.38,10.96,80550.0,FASE OPERACIONAL
MINUPAR,MNPR3,15.89,2.99,14.58,731110.0,FASE OPERACIONAL
MONT ARANHA,MOAR3,301.0,13.95,226.69,197950.0,FASE OPERACIONAL
MOSAICO,MOSI3,19.89,38.39,21.49,36710000.0,FASE OPERACIONAL
MOVIDA,MOVI3,17.52,16.77,17.39,36510000.0,FASE OPERACIONAL
MARFRIG,MRFG3,18.26,3.82,11.56,176550000.0,FASE OPERACIONAL
MRV,MRVE3,17.69,16.8,10.76,63860000.0,FASE OPERACIONAL
MELHOR SP,MSPA3,48.0,-5.78,-56.65,21231.0,FASE OPERACIONAL
METAL IGUACU,MTIG4,54.12,34.15,2.72,9390.0,FASE OPERACIONAL
MITRE REALTY,MTRE3,11.99,15.31,8.85,10560000.0,FASE OPERACIONAL
METISA,MTSA4,40.0,5.15,18.82,187770.0,FASE OPERACIONAL
MULTIPLAN,MULT3,25.38,17.22,92.51,139500000.0,FASE OPERACIONAL
WETZEL S/A,MWET3,39.9,1.83,31.41,14890.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
WETZEL S/A,MWET4,13.84,1.83,31.41,222150.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
IOCHP-MAXION,MYPK3,17.23,-142.27,-0.49,27530000.0,FASE OPERACIONAL
NEOENERGIA,NEOE3,18.15,8.74,16.39,34740000.0,FASE OPERACIONAL
NEOGRID,NGRD3,6.9,38.7,16.52,23310000.0,FASE OPERACIONAL
NORDON MET,NORD3,21.45,103.16,106.82,71380.0,PARALISADA
GRUPO NATURA,NTCO3,51.53,55.84,3.61,300860000.0,FASE OPERACIONAL
NUTRIPLANT,NUTR3,240.0,6.72,6.76,37750.0,FASE OPERACIONAL
ODONTOPREV,ODPV3,12.9,10.62,32.09,15850000.0,FASE OPERACIONAL
OUROFINO S/A,OFSA3,36.32,17.56,15.28,1100000.0,FASE OPERACIONAL
OI,OIBR3,1.54,-23.22,-16.33,176500000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
OI,OIBR4,2.28,-23.22,-16.33,8280000.0,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE
OMEGA GER,OMGE3,37.72,22.69,43.24,34350000.0,FASE OPERACIONAL
OCEANPACT,OPCT3,7.87,39.36,6.23,10690000.0,FASE OPERACIONAL
ORIZON,ORVR3,23.91,28.98,15.18,5260000.0,FASE OPERACIONAL
OSX BRASIL,OSXB3,11.13,-7.78,-4782.13,884410.0,FASE OPERACIONAL
IHPARDINI,PARD3,21.38,11.58,15.19,8700000.0,FASE OPERACIONAL
