Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio,Situação Judicial
INTELBRAS,INTB3,27.88,27.63,12.9,33821600.0,[]
JALLESMACHAD,JALL3,8.85,,,5970480.0,[]
J B DUARTE,JBDU3,3.26,-70.19,,364365.0,[]
J B DUARTE,JBDU4,2.9,-64.49,,678981.0,[]
JBS,JBSS3,30.38,6.0,7.7,442347000.0,[]
JHSF Part,JHSF3,7.4,6.73,59.5,40544500.0,[]
JOSAPAR S/A,JOPA3,30.0,6.43,7.1,16561.0,[]
JOSAPAR S/A,JOPA4,74.88,10.48,7.1,1148.0,[]
JEREISSATI PARTICIPACOES,JPSA3,28.91,15.27,42.7,8272990.0,[]
JULIO SIMOES,JSLG3,10.73,26.25,13.9,4120110.0,[]
KEPLER WEBER SA,KEPL3,50.46,12.97,11.0,11126100.0,[]
KLABIN,KLBN11,25.98,17.47,22.7,174785000.0,[]
KLABIN,KLBN3,5.61,18.27,22.7,1803210.0,[]
KLABIN,KLBN4,5.11,17.31,22.7,8626880.0,[]
LOJAS AMERICANAS S.A.,LAME3,18.43,23.84,6.8,75800300.0,[]
LOJAS AMERICANAS S.A.,LAME4,19.7,25.4,6.8,249064000.0,[]
LAVVI,LAVV3,7.7,7.02,30.4,11784500.0,[]
LOCAMERICA,LCAM3,27.1,17.77,17.0,61942200.0,[]
MAHLE METAL LEVE,LEVE3,27.98,7.85,16.8,17416700.0,[]
LIGHT SA,LIGT3,17.44,6.56,13.5,39084800.0,[]
LINX,LINX3,37.38,51.46,14.8,16771300.0,[]
LIGHTPAR,LIPR3,72.5,-133.6,,39189.0,[]
QUERO-QUERO,LJQQ3,19.84,19.28,11.2,27283400.0,[]
LE LIS BLANC DEUX,LLIS3,3.98,-5.69,-58.4,2228820.0,[]
LOG COM PROP,LOGG3,28.49,31.46,75.6,11595100.0,[]
Log-In,LOGN3,18.38,19.7,12.3,16778600.0,[]
LOPES BRASIL,LPSB3,3.78,8.84,25.5,4999740.0,[]
