Empresa,Ticker,Cotação,EV/EBIT,M.EBIT,Volume Médio
PROFARMA,PFRM3,4.52,3.88,3.7,462111.0
PAGUE MENOS,PGMN3,9.82,13.17,4.9,10256700.0
PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A,PLAS3,9.34,-7.75,-6.3,4349.0
PLANOEPLANO,PLPL3,3.02,2.31,24.9,2757020.0
PARANAPANEMA S.A.,PMAM3,9.45,-35.64,-2.1,2138140.0
PANVEL FARMÁCIAS,PNVL3,14.28,39.25,2.1,8083490.0
MARCOPOLO,POMO3,2.32,-76.74,-1.2,498529.0
MARCOPOLO,POMO4,2.67,-84.69,-1.2,15754700.0
WILSON SONS,PORT3,62.65,12.44,25.6,3532460.0
POSITIVO INF,POSI3,9.36,7.74,7.2,27520400.0
FOCUS,POWE3,10.9,10.63,3.5,2065930.0
PETRORIO,PRIO3,24.49,9.5,50.0,641952000.0
PRINER,PRNR3,6.98,12.78,4.7,1182080.0
PORTOBELLO S/A,PTBL3,10.22,5.98,17.6,7877030.0
PETTENATI,PTNT3,12.97,12.64,7.5,150896.0
PETTENATI,PTNT4,5.93,6.94,7.5,97404.0
QUALICORP,QUAL3,16.97,8.12,37.0,64220800.0
RAIADROGASIL,RADL3,24.14,30.92,5.5,152936000.0
RUMO S.A.,RAIL3,19.0,29.8,21.2,218261000.0
RAIZEN,RAIZ4,6.92,14.88,3.3,73461100.0
CELULOSE IRANI,RANI3,6.67,4.74,27.5,8879400.0
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT3,9.8,4.18,13.3,171040.0
RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES,RAPT4,10.72,4.44,13.3,29490600.0
RECRUSUL,RCSL3,3.41,305.34,1.4,14995000.0
RECRUSUL,RCSL4,1.01,86.62,1.4,644129.0
RNI,RDNI3,8.74,54.11,3.3,151827.0
REDE D OR,RDOR3,50.53,30.27,18.9,211265000.0
PETRORECONCA,RECV3,24.34,19.32,29.8,23536000.0
REDE EMPRESAS DE ENERGIA ELÉTRICA S.A.,REDE3,6.66,6.73,21.4,37681.0
LOCALIZA RENT A CAR,RENT3,62.33,16.97,29.6,365087000.0
RENOVA,RNEW11,5.75,-11.52,-97.0,55659.0
RENOVA,RNEW3,2.04,-11.66,-97.0,183323.0
RENOVA,RNEW4,1.86,-11.45,-97.0,420029.0
ROMI,ROMI3,14.45,7.08,15.0,8727190.0
ALFA HOLDINGS,RPAD3,6.32,-127.2,,3091.0
ALFA HOLDINGS,RPAD5,7.8,-161.42,,3652.0
ALFA HOLDINGS,RPAD6,4.38,-82.34,,1421.0
REFINARIA DE PETRÓLEOS DE MANGUINHOS S.A,RPMG3,2.81,-0.5,-17.3,130031.0
3R PETROLEUM,RRRP3,42.3,24.57,34.2,199918000.0
ROSSI RESIDENCIAL,RSID3,7.92,-12.77,-99.1,679046.0
METALURGICA RIOSULENSE S/A,RSUL4,72.7,5.45,23.7,195062.0
SANEPAR,SAPR11,20.65,4.43,40.7,28503900.0
SANEPAR,SAPR3,4.0,4.34,40.7,1285850.0
SANEPAR,SAPR4,4.15,4.45,40.7,11382400.0
GRUPO SBF,SBFG3,26.88,18.63,8.5,32498000.0
SABESP,SBSP3,51.27,12.11,21.0,131840000.0
SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.,SCAR3,37.0,24.96,53.2,74382.0
SER EDUCA,SEER3,11.25,7.24,15.6,5243630.0
SEQUOIA LOG,SEQL3,13.16,165.55,0.9,37764600.0
Springs,SGPS3,5.37,10.04,6.1,276467.0
TIME FOR FUN,SHOW3,4.63,-6.35,-110.8,2646420.0
SCHULZ,SHUL4,9.3,10.53,11.9,1773620.0
SIMPAR,SIMH3,12.08,8.37,22.3,20504900.0
SLC Agricola,SLCE3,50.38,7.33,28.4,108485000.0
EDITORA SARAIVA,SLED3,14.1,-6.0,-52.4,295811.0
EDITORA SARAIVA,SLED4,7.44,-5.74,-52.4,1070290.0
SMART FIT,SMFT3,23.03,-38.41,-20.4,23845000.0
SAO MARTINHO,SMTO3,44.4,11.35,34.0,81609200.0
SANSUY S.A. INDÚSTRIA DE PLÁSTICOS,SNSY5,3.91,-22.19,-0.9,17234.0
BOA SAFRA,SOJA3,13.78,10.41,13.6,5852210.0
GRUPO SOMA,SOMA3,15.76,49.88,9.5,72884800.0
SONDOTECNICA S/A.,SOND3,40.2,5.36,15.3,0.0
SONDOTECNICA S/A.,SOND5,40.01,5.32,15.3,2812.0
SONDOTECNICA S/A.,SOND6,35.5,4.44,15.3,688.0
SINQIA,SQIA3,20.14,65.54,6.3,17094900.0
SBPAR,STBP3,7.83,16.63,23.8,33834500.0
Suzano Papel,SUZB3,54.21,8.03,40.2,417490000.0
SYN PROP TEC,SYNE3,6.87,1.22,68.0,4914740.0
TAESA,TAEE11,44.25,8.12,76.8,113900000.0
TAESA,TAEE3,14.82,8.15,76.8,1218710.0
TAESA,TAEE4,14.73,8.11,76.8,2278750.0
TAURUS ARMAS,TASA3,24.27,3.79,31.8,708569.0
TAURUS ARMAS,TASA4,24.77,3.86,31.8,23668300.0
TECNOSOLO S/A,TCNO3,1.81,-21.29,,48805.0
TECNOSOLO S/A,TCNO4,1.48,-20.28,,93575.0
TECNISA,TCSA3,3.36,-7.14,-60.6,2464010.0
TECHNOS,TECN3,2.87,4.49,18.5,3889650.0
TEKA S.A.,TEKA3,26.1,,0.1,0.0
TEKA S.A.,TEKA4,8.96,,0.1,11984.0
TELEBRAS,TELB3,51.0,-8.13,-110.9,151043.0
TELEBRAS,TELB4,16.71,-0.78,-110.9,377110.0
Tenda,TEND3,8.78,71.85,0.7,25864200.0
TRACK FIELD,TFCO4,12.0,21.44,20.7,2956940.0
Tegma,TGMA3,17.17,9.93,11.8,4579060.0
TIM,TIMS3,14.44,8.87,18.1,104931000.0
TEKNO,TKNO4,70.0,3.69,15.7,509.0
TOTVS,TOTS3,36.79,19.6,33.3,148286000.0
TRIUNFO PARTICIPACOES SA,TPIS3,1.95,-104.33,-1.8,1931620.0
TC,TRAD3,4.65,-34.61,-31.5,11890300.0
